collected_frames,explosions/rate,explosions/dirty_envs,explosions/skipped_updates,explosions/skipped_updates_frac
53608448,0.0,0,0,0.0
53739520,0.0,0,0,0.0
53870592,0.0,0,0,0.0
54001664,0.0,0,0,0.0
54132736,0.0,0,0,0.0
54263808,0.0,0,0,0.0
54394880,0.0,0,0,0.0
54525952,0.0,0,0,0.0
54657024,0.0,0,0,0.0
54788096,0.0,0,0,0.0
54919168,0.0,0,0,0.0
55050240,0.0,0,0,0.0
55181312,0.0,0,0,0.0
55312384,0.0,0,0,0.0
55443456,0.0,0,0,0.0
55574528,0.0,0,0,0.0
55705600,0.0,0,0,0.0
55836672,0.0,0,0,0.0
55967744,0.0,0,0,0.0
56098816,0.0,0,0,0.0
56229888,0.0,0,0,0.0
56360960,0.0,0,0,0.0
56492032,0.0,0,0,0.0
56623104,0.0,0,0,0.0
